student_id,step,timestamp,concept,skill,item_id,irt_difficulty_b,irt_discrimination_a,student_theta,prior_mastery,is_correct,response_time_sec
STU_0001,1,2026-01-31T16:00:00+00:00,Database Indexing & Query Plans,SQL,ITEM_DATA_007,1.209,1.525,0.637,0.214,0,63
STU_0001,2,2026-01-31T16:03:00+00:00,Probability Distributions,Statistics,ITEM_PROB_002,0.031,1.8,0.617,0.34,1,59
STU_0001,3,2026-01-31T16:06:00+00:00,Window Functions,SQL,ITEM_WIND_005,0.356,1.29,0.687,0.017,1,42
STU_0001,4,2026-01-31T16:08:00+00:00,Caching & Consistency,System Design,ITEM_CACH_001,0.318,1.382,0.757,0.587,0,46
STU_0001,5,2026-01-31T16:10:00+00:00,Gradient Boosting & Trees,Machine Learning,ITEM_GRAD_003,1.03,1.724,0.737,0.509,1,66
STU_0001,6,2026-01-31T16:12:00+00:00,Transformers & Attention,Deep Learning,ITEM_TRAN_001,1.438,1.488,0.807,0.183,1,52
STU_0001,7,2026-01-31T16:16:00+00:00,Graph Algorithms,Data Structures & Algorithms,ITEM_GRAP_003,0.552,1.61,0.877,0.128,1,32
STU_0001,8,2026-01-31T16:20:00+00:00,NumPy & Vectorization,Python,ITEM_NUMP_005,0.153,1.195,0.947,0.321,0,37
STU_0001,9,2026-01-31T16:23:00+00:00,Distributed Systems & Scalability,System Design,ITEM_DIST_007,0.946,1.133,0.927,0.144,0,48
STU_0001,10,2026-01-31T16:27:00+00:00,Pandas DataFrames,Python,ITEM_PAND_002,-0.372,1.735,0.907,0.124,1,29
STU_0001,11,2026-01-31T16:31:00+00:00,Distributed Systems & Scalability,System Design,ITEM_DIST_003,0.922,1.686,0.977,0.129,1,46
STU_0001,12,2026-01-31T16:34:00+00:00,Gradient Boosting & Trees,Machine Learning,ITEM_GRAD_006,1.195,1.366,1.047,0.637,0,69
STU_0001,13,2026-01-31T16:36:00+00:00,Bias-Variance Tradeoff,Machine Learning,ITEM_BIAS_006,-0.334,1.297,1.027,0.351,0,51
STU_0001,14,2026-01-31T16:39:00+00:00,Time Complexity & Big-O,Data Structures & Algorithms,ITEM_TIME_008,-0.71,1.179,1.007,0.109,1,19
STU_0001,15,2026-01-31T16:43:00+00:00,Message Queues & Async Tasks,Backend Architecture,ITEM_MESS_005,0.497,1.769,1.077,0.281,0,49
STU_0001,16,2026-01-31T16:45:00+00:00,Database Indexing & Query Plans,SQL,ITEM_DATA_001,1.275,1.128,1.057,0.192,0,58
STU_0001,17,2026-01-31T16:47:00+00:00,Bias-Variance Tradeoff,Machine Learning,ITEM_BIAS_008,-0.652,1.31,1.037,0.316,1,69
STU_0001,18,2026-01-31T16:50:00+00:00,Message Queues & Async Tasks,Backend Architecture,ITEM_MESS_002,0.437,1.636,1.107,0.253,0,59
STU_0001,19,2026-01-31T16:52:00+00:00,Window Functions,SQL,ITEM_WIND_001,0.326,1.207,1.087,0.273,1,37
STU_0001,20,2026-01-31T16:55:00+00:00,SQL Querying & Joins,SQL,ITEM_SQL _006,-1.511,1.52,1.157,0.336,1,45
STU_0001,21,2026-01-31T16:57:00+00:00,RESTful APIs & HTTP,Backend Architecture,ITEM_REST_003,-0.33,1.367,1.227,0.155,1,30
STU_0001,22,2026-01-31T17:00:00+00:00,Time Complexity & Big-O,Data Structures & Algorithms,ITEM_TIME_005,-0.419,1.38,1.297,0.341,0,32
STU_0001,23,2026-01-31T17:03:00+00:00,SQL Querying & Joins,SQL,ITEM_SQL _002,-1.679,1.391,1.277,0.509,1,45
STU_0001,24,2026-01-31T17:06:00+00:00,Neural Network Fundamentals,Deep Learning,ITEM_NEUR_006,0.248,1.642,1.347,0.758,1,41
STU_0001,25,2026-01-31T17:08:00+00:00,Database Indexing & Query Plans,SQL,ITEM_DATA_005,1.316,1.349,1.417,0.173,0,56
STU_0001,26,2026-01-31T17:13:00+00:00,Pandas DataFrames,Python,ITEM_PAND_008,-0.186,1.355,1.397,0.352,1,44
STU_0001,27,2026-01-31T17:18:00+00:00,Time Complexity & Big-O,Data Structures & Algorithms,ITEM_TIME_003,-0.494,1.621,1.467,0.306,1,44
STU_0001,28,2026-01-31T17:20:00+00:00,Database Indexing & Query Plans,SQL,ITEM_DATA_006,1.246,1.681,1.537,0.156,0,59
STU_0001,29,2026-01-31T17:25:00+00:00,Distributed Systems & Scalability,System Design,ITEM_DIST_002,0.89,1.583,1.517,0.356,0,74
STU_0001,30,2026-01-31T17:29:00+00:00,Graph Algorithms,Data Structures & Algorithms,ITEM_GRAP_005,0.463,1.316,1.497,0.355,1,44
STU_0001,31,2026-01-31T17:31:00+00:00,Message Queues & Async Tasks,Backend Architecture,ITEM_MESS_008,0.63,1.293,1.567,0.227,1,47
STU_0001,32,2026-01-31T17:35:00+00:00,Authentication & Security,Backend Architecture,ITEM_AUTH_003,0.221,1.711,1.637,0.438,1,33
STU_0001,33,2026-01-31T17:37:00+00:00,Data Types & Mutability,Python,ITEM_DATA_002,-1.755,1.723,1.707,0.433,1,19
STU_0001,34,2026-01-31T17:41:00+00:00,Distributed Systems & Scalability,System Design,ITEM_DIST_007,1.095,1.454,1.777,0.32,1,59
STU_0001,35,2026-01-31T17:44:00+00:00,Graph Algorithms,Data Structures & Algorithms,ITEM_GRAP_001,0.641,1.156,1.847,0.522,1,46
STU_0001,36,2026-01-31T17:48:00+00:00,Time Complexity & Big-O,Data Structures & Algorithms,ITEM_TIME_003,-0.472,1.52,1.917,0.487,0,43
STU_0001,37,2026-01-31T17:53:00+00:00,Transformers & Attention,Deep Learning,ITEM_TRAN_002,1.256,1.118,1.897,0.396,1,43
STU_0001,38,2026-01-31T17:56:00+00:00,Regularization & Loss Functions,Machine Learning,ITEM_REGU_007,0.632,1.686,1.967,0.385,1,41
STU_0001,39,2026-01-31T18:01:00+00:00,Distributed Systems & Scalability,System Design,ITEM_DIST_001,0.746,1.499,2.037,0.497,0,67
STU_0001,40,2026-01-31T18:03:00+00:00,Window Functions,SQL,ITEM_WIND_005,0.355,1.255,2.017,0.462,1,45
STU_0001,41,2026-01-31T18:06:00+00:00,Neural Network Fundamentals,Deep Learning,ITEM_NEUR_006,0.474,1.627,2.087,0.821,1,55
STU_0001,42,2026-01-31T18:10:00+00:00,NumPy & Vectorization,Python,ITEM_NUMP_006,0.069,1.79,2.157,0.289,1,37
STU_0001,43,2026-01-31T18:15:00+00:00,Probability Distributions,Statistics,ITEM_PROB_006,0.055,1.592,2.227,0.511,1,52
STU_0001,44,2026-01-31T18:19:00+00:00,Bias-Variance Tradeoff,Machine Learning,ITEM_BIAS_001,-0.651,1.657,2.297,0.494,0,35
STU_0001,45,2026-01-31T18:21:00+00:00,Hypothesis Testing & p-values,Statistics,ITEM_HYPO_006,-0.282,1.732,2.277,0.514,0,33
STU_0001,46,2026-01-31T18:24:00+00:00,Regularization & Loss Functions,Machine Learning,ITEM_REGU_006,0.599,1.502,2.257,0.545,1,54
STU_0001,47,2026-01-31T18:28:00+00:00,Message Queues & Async Tasks,Backend Architecture,ITEM_MESS_004,0.567,1.767,2.327,0.428,0,43
STU_0001,48,2026-01-31T18:31:00+00:00,Message Queues & Async Tasks,Backend Architecture,ITEM_MESS_004,0.459,1.428,2.307,0.385,1,36
STU_0001,49,2026-01-31T18:34:00+00:00,Evaluation Metrics,Machine Learning,ITEM_EVAL_005,0.214,1.735,2.377,0.627,1,29
STU_0001,50,2026-01-31T18:38:00+00:00,NumPy & Vectorization,Python,ITEM_NUMP_001,0.149,1.492,2.447,0.474,1,39
STU_0002,1,2026-02-11T17:00:00+00:00,Transformers & Attention,Deep Learning,ITEM_TRAN_001,1.32,1.666,0.901,0.167,0,53
STU_0002,2,2026-02-11T17:04:00+00:00,Hypothesis Testing & p-values,Statistics,ITEM_HYPO_001,-0.48,1.444,0.881,0.067,1,36
STU_0002,3,2026-02-11T17:08:00+00:00,RESTful APIs & HTTP,Backend Architecture,ITEM_REST_003,-0.32,1.18,0.951,0.225,0,58
STU_0002,4,2026-02-11T17:13:00+00:00,Bias-Variance Tradeoff,Machine Learning,ITEM_BIAS_008,-0.506,1.628,0.931,0.291,1,44
STU_0002,5,2026-02-11T17:15:00+00:00,Gradient Boosting & Trees,Machine Learning,ITEM_GRAD_001,0.976,1.778,1.001,0.293,0,58
STU_0002,6,2026-02-11T17:19:00+00:00,Control Flow & Generators,Python,ITEM_CONT_001,-0.658,1.723,0.981,0.604,1,39
STU_0002,7,2026-02-11T17:23:00+00:00,Distributed Systems & Scalability,System Design,ITEM_DIST_001,1.053,1.156,1.051,0.175,1,46
STU_0002,8,2026-02-11T17:28:00+00:00,Caching & Consistency,System Design,ITEM_CACH_005,0.207,1.365,1.121,0.31,1,32
STU_0002,9,2026-02-11T17:31:00+00:00,NumPy & Vectorization,Python,ITEM_NUMP_004,0.225,1.774,1.191,0.337,0,22
STU_0002,10,2026-02-11T17:33:00+00:00,RESTful APIs & HTTP,Backend Architecture,ITEM_REST_001,-0.266,1.321,1.171,0.203,0,21
STU_0002,11,2026-02-11T17:38:00+00:00,Python Concurrency & GIL,Python,ITEM_PYTH_001,0.902,1.264,1.151,0.26,0,49
STU_0002,12,2026-02-11T17:41:00+00:00,Regularization & Loss Functions,Machine Learning,ITEM_REGU_007,0.627,1.5,1.131,0.242,1,56
STU_0002,13,2026-02-11T17:45:00+00:00,RESTful APIs & HTTP,Backend Architecture,ITEM_REST_002,-0.103,1.274,1.201,0.182,1,48
STU_0002,14,2026-02-11T17:47:00+00:00,Python Concurrency & GIL,Python,ITEM_PYTH_002,0.817,1.703,1.271,0.234,1,42
STU_0002,15,2026-02-11T17:52:00+00:00,Hypothesis Testing & p-values,Statistics,ITEM_HYPO_001,-0.331,1.449,1.341,0.309,0,36
STU_0002,16,2026-02-11T17:55:00+00:00,Gradient Boosting & Trees,Machine Learning,ITEM_GRAD_006,0.929,1.368,1.321,0.263,1,53
STU_0002,17,2026-02-11T17:58:00+00:00,NumPy & Vectorization,Python,ITEM_NUMP_002,0.235,1.722,1.391,0.304,0,47
STU_0002,18,2026-02-11T18:03:00+00:00,Distributed Systems & Scalability,System Design,ITEM_DIST_006,0.766,1.431,1.371,0.389,0,58
STU_0002,19,2026-02-11T18:06:00+00:00,Neural Network Fundamentals,Deep Learning,ITEM_NEUR_005,0.299,1.553,1.351,0.225,0,22
STU_0002,20,2026-02-11T18:08:00+00:00,Neural Network Fundamentals,Deep Learning,ITEM_NEUR_005,0.151,1.411,1.331,0.203,0,36
STU_0002,21,2026-02-11T18:13:00+00:00,A/B Testing & Causal Inference,Statistics,ITEM_A/B _002,1.154,1.254,1.311,0.522,1,51
STU_0002,22,2026-02-11T18:16:00+00:00,Hypothesis Testing & p-values,Statistics,ITEM_HYPO_008,-0.361,1.2,1.381,0.278,1,45
STU_0002,23,2026-02-11T18:19:00+00:00,Evaluation Metrics,Machine Learning,ITEM_EVAL_002,0.145,1.3,1.451,0.511,1,53
STU_0002,24,2026-02-11T18:22:00+00:00,RESTful APIs & HTTP,Backend Architecture,ITEM_REST_004,-0.29,1.349,1.521,0.395,1,34
