student_id,step,timestamp,concept,skill,item_id,irt_difficulty_b,irt_discrimination_a,student_theta,prior_mastery,is_correct,response_time_sec
STU_0001,1,2026-02-03T09:00:00+00:00,RESTful APIs & HTTP,Backend Architecture,ITEM_REST_005,-0.37,1.114,-0.015,0.031,0,38
STU_0001,2,2026-02-03T09:03:00+00:00,Control Flow & Generators,Python,ITEM_CONT_003,-0.804,1.497,-0.035,0.445,1,37
STU_0001,3,2026-02-03T09:06:00+00:00,Message Queues & Async Tasks,Backend Architecture,ITEM_MESS_007,0.49,1.485,0.035,0.339,1,27
STU_0001,4,2026-02-03T09:09:00+00:00,Caching & Consistency,System Design,ITEM_CACH_006,0.502,1.583,0.105,0.515,0,34
STU_0001,5,2026-02-03T09:14:00+00:00,Transformers & Attention,Deep Learning,ITEM_TRAN_001,1.281,1.274,0.085,0.364,1,64
STU_0001,6,2026-02-03T09:17:00+00:00,Distributed Systems & Scalability,System Design,ITEM_DIST_006,0.788,1.15,0.155,0.788,0,52
STU_0001,7,2026-02-03T09:19:00+00:00,Transformers & Attention,Deep Learning,ITEM_TRAN_003,1.195,1.568,0.135,0.479,1,75
STU_0001,8,2026-02-03T09:24:00+00:00,Database Indexing & Query Plans,SQL,ITEM_DATA_007,1.314,1.665,0.205,0.403,1,64
STU_0001,9,2026-02-03T09:29:00+00:00,A/B Testing & Causal Inference,Statistics,ITEM_A/B _002,1.146,1.138,0.275,0.385,0,59
STU_0001,10,2026-02-03T09:31:00+00:00,Hypothesis Testing & p-values,Statistics,ITEM_HYPO_003,-0.309,1.66,0.255,0.169,1,44
STU_0001,11,2026-02-03T09:36:00+00:00,SQL Querying & Joins,SQL,ITEM_SQL _008,-1.589,1.275,0.325,0.462,0,51
STU_0001,12,2026-02-03T09:38:00+00:00,Control Flow & Generators,Python,ITEM_CONT_004,-0.639,1.478,0.305,0.545,1,53
STU_0001,13,2026-02-03T09:41:00+00:00,Probability Distributions,Statistics,ITEM_PROB_001,0.194,1.25,0.375,0.712,1,51
STU_0001,14,2026-02-03T09:44:00+00:00,Hypothesis Testing & p-values,Statistics,ITEM_HYPO_008,-0.599,1.373,0.445,0.318,0,41
STU_0001,15,2026-02-03T09:47:00+00:00,Window Functions,SQL,ITEM_WIND_001,0.319,1.778,0.425,0.432,0,35
STU_0001,16,2026-02-03T09:51:00+00:00,Control Flow & Generators,Python,ITEM_CONT_002,-0.88,1.434,0.405,0.627,0,36
STU_0001,17,2026-02-03T09:54:00+00:00,Pandas DataFrames,Python,ITEM_PAND_002,-0.162,1.573,0.385,0.053,1,39
STU_0001,18,2026-02-03T09:57:00+00:00,Distributed Systems & Scalability,System Design,ITEM_DIST_005,0.938,1.534,0.455,0.709,1,40
STU_0001,19,2026-02-03T10:00:00+00:00,Message Queues & Async Tasks,Backend Architecture,ITEM_MESS_005,0.586,1.267,0.525,0.458,1,40
STU_0001,20,2026-02-03T10:05:00+00:00,Regularization & Loss Functions,Machine Learning,ITEM_REGU_002,0.672,1.755,0.595,0.388,1,38
STU_0001,21,2026-02-03T10:07:00+00:00,Caching & Consistency,System Design,ITEM_CACH_002,0.285,1.286,0.665,0.463,0,34
STU_0001,22,2026-02-03T10:10:00+00:00,Gradient Boosting & Trees,Machine Learning,ITEM_GRAD_001,1.014,1.407,0.645,0.608,0,42
STU_0001,23,2026-02-03T10:14:00+00:00,Message Queues & Async Tasks,Backend Architecture,ITEM_MESS_002,0.341,1.715,0.625,0.556,1,71
STU_0001,24,2026-02-03T10:17:00+00:00,Bias-Variance Tradeoff,Machine Learning,ITEM_BIAS_008,-0.587,1.247,0.695,0.434,1,32
STU_0001,25,2026-02-03T10:21:00+00:00,Control Flow & Generators,Python,ITEM_CONT_001,-0.863,1.397,0.765,0.564,1,21
STU_0002,1,2026-01-11T19:00:00+00:00,Pandas DataFrames,Python,ITEM_PAND_002,-0.286,1.565,0.251,0.603,1,25
STU_0002,2,2026-01-11T19:03:00+00:00,Message Queues & Async Tasks,Backend Architecture,ITEM_MESS_002,0.424,1.665,0.321,0.521,1,72
STU_0002,3,2026-01-11T19:08:00+00:00,Probability Distributions,Statistics,ITEM_PROB_007,0.354,1.503,0.391,0.264,0,52
